,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk
125,0.0,,,,,,45.0,,,,,0,note_off,,80.0,45.0,80.0,49920,52.0,480,0.0_13.0
126,0.0,,,,,,40.0,,,,,0,note_off,,80.0,40.0,80.0,49920,52.0,480,0.0_13.0
127,0.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,49920,52.0,480,0.0_13.0
128,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,49920,52.0,480,0.0_13.0
129,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,49920,52.0,480,0.0_13.0
130,0.0,,,,,,64.0,,,,,720,note_off,,80.0,64.0,80.0,50640,52.75,480,0.0_13.0
131,0.0,,,,,,59.0,,,,,0,note_off,,80.0,59.0,80.0,50640,52.75,480,0.0_13.0
132,0.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,50640,52.75,480,0.0_13.0
133,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,0,0.0,480,1.0_0.0
134,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,0,0.0,480,1.0_0.0
135,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,0,0.0,480,1.0_0.0
136,1.0,,,,,,,,640.0,,,120,pitchwheel,,,,,120,0.125,480,1.0_0.0
137,1.0,,,,,,,,640.0,,,0,pitchwheel,,,,,120,0.125,480,1.0_0.0
138,1.0,,,,,,,,640.0,,,0,pitchwheel,,,,,120,0.125,480,1.0_0.0
139,1.0,,,,,,,,1408.0,,,60,pitchwheel,,,,,180,0.1875,480,1.0_0.0
140,1.0,,,,,,,,1408.0,,,0,pitchwheel,,,,,180,0.1875,480,1.0_0.0
141,1.0,,,,,,,,1408.0,,,0,pitchwheel,,,,,180,0.1875,480,1.0_0.0
142,1.0,,,,,,64.0,,,,,60,note_off,,80.0,64.0,80.0,240,0.25,480,1.0_0.0
143,1.0,,,,,,,,0.0,,,0,pitchwheel,,,,,240,0.25,480,1.0_0.0
144,1.0,,,,,,59.0,,,,,0,note_off,,80.0,59.0,80.0,240,0.25,480,1.0_0.0
145,1.0,,,,,,,,0.0,,,0,pitchwheel,,,,,240,0.25,480,1.0_0.0
146,1.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,240,0.25,480,1.0_0.0
147,1.0,,,,,,,,0.0,,,0,pitchwheel,,,,,240,0.25,480,1.0_0.0
148,0.0,,,,,,67.0,,,,,0,note_on,,86.0,67.0,86.0,50640,52.75,480,0.0_13.0
149,0.0,,,,,,62.0,,,,,0,note_on,,86.0,62.0,86.0,50640,52.75,480,0.0_13.0
150,0.0,,,,,,55.0,,,,,0,note_on,,86.0,55.0,86.0,50640,52.75,480,0.0_13.0
151,0.0,,,,,,67.0,,,,,240,note_off,,80.0,67.0,80.0,50880,53.0,480,0.0_13.0
152,0.0,,,,,,62.0,,,,,0,note_off,,80.0,62.0,80.0,50880,53.0,480,0.0_13.0
153,0.0,,,,,,55.0,,,,,0,note_off,,80.0,55.0,80.0,50880,53.0,480,0.0_13.0
154,0.0,,,,,,64.0,,,,,120,note_on,,95.0,64.0,95.0,51000,53.125,480,0.0_13.0
155,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,51000,53.125,480,0.0_13.0
