,channel,clocks_per_click,control,denominator,key,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_value_nmd,note_name,angle
473,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,75360,314.0,6.0,2.0,2,D,60
475,0.0,,,,,,,74.0,,,,7,note_on,,100.0,74.0,100.0,75540,314.75,6.0,2.0,2,D,60
477,0.0,,,,,,,76.0,,,,0,note_on,,100.0,76.0,100.0,75600,315.0,6.0,4.0,4,E,120
479,0.0,,,,,,,76.0,,,,7,note_on,,100.0,76.0,100.0,75720,315.5,6.0,4.0,4,E,120
481,0.0,,,,,,,76.0,,,,7,note_on,,100.0,76.0,100.0,75840,316.0,6.0,4.0,4,E,120
483,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,75900,316.25,6.0,2.0,2,D,60
485,0.0,,,,,,,74.0,,,,0,note_on,,100.0,74.0,100.0,75960,316.5,6.0,2.0,2,D,60
487,0.0,,,,,,,72.0,,,,0,note_on,,80.0,72.0,80.0,76020,316.75,6.0,0.0,0,C,0
489,0.0,,,,,,,72.0,,,,0,note_on,,100.0,72.0,100.0,76080,317.0,6.0,0.0,0,C,0
491,0.0,,,,,,,64.0,,,,60,note_on,,100.0,64.0,100.0,76500,318.75,5.0,4.0,4,E,120
493,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,76620,319.25,5.0,7.0,1,C#,210
495,0.0,,,,,,,69.0,,,,0,note_on,,99.0,69.0,99.0,76680,319.5,5.0,9.0,3,D#,270
497,0.0,,,,,,,69.0,,,,7,note_on,,99.0,69.0,99.0,76860,320.25,5.0,9.0,3,D#,270
499,0.0,,,,,,,69.0,,,,67,note_on,,100.0,69.0,100.0,77220,321.75,5.0,9.0,3,D#,270
501,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,77340,322.25,5.0,7.0,1,C#,210
503,0.0,,,,,,,64.0,,,,0,note_on,,99.0,64.0,99.0,77400,322.5,5.0,4.0,4,E,120
505,0.0,,,,,,,64.0,,,,7,note_on,,99.0,64.0,99.0,77580,323.25,5.0,4.0,4,E,120
507,0.0,,,,,,,64.0,,,,67,note_on,,100.0,64.0,100.0,77940,324.75,5.0,4.0,4,E,120
509,0.0,,,,,,,67.0,,,,7,note_on,,100.0,67.0,100.0,78060,325.25,5.0,7.0,1,C#,210
511,0.0,,,,,,,69.0,,,,0,note_on,,99.0,69.0,99.0,78120,325.5,5.0,9.0,3,D#,270
513,0.0,,,,,,,69.0,,,,7,note_on,,99.0,69.0,99.0,78300,326.25,5.0,9.0,3,D#,270
